GEOID,COUNTYFP,VTD,total_reg,age_18_19,age_20_24,age_25_29,age_30_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85over,party_dem,party_rep,party_npp,party_rin,party_lib,party_grn,party_wkp,party_bar,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_10,eth2_30,eth2_23,eth2_14,eth2_34,eth2_21,eth2_32,eth2_12,eth2_85,eth2_29,eth2_35,eth2_55,eth2_66,eth2_33,eth2_61,eth2_99,eth2_38,eth2_26,eth2_19,eth2_59,eth2_18,eth2_unk,g20201103,pp20200602,p20200602,g20181106,p20180626,s20171219,s20171002,g20161108,pp20160426,p20160426,s20151208,g20141104,p20140624,s20130506,s20130305,g20121106,pp20120403,p20120403,g20101102,p20100914
2402121-004,021,21-004,3053,0,142,179,209,629,515,448,386,164,73,1423,854,739,0,19,5,0,1,12,0,1791,265,356,164,96,381,1791,349,264,39,46,71,17,21,27,3,3,10,7,1,0,1,0,5,7,3,1,0,0,1,381,2501,1176,1176,1810,680,0,0,1930,959,959,0,1112,528,0,0,1605,456,456,933,417
2402121-007,021,21-007,745,0,25,43,57,117,103,139,124,67,19,274,292,175,0,0,2,0,0,2,0,605,19,6,10,17,88,605,6,19,1,10,5,3,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,88,601,254,254,418,160,0,0,494,264,264,0,318,152,0,0,446,123,123,265,130
2402121-008,021,21-008,20,0,0,3,3,3,2,2,5,0,0,4,11,4,0,0,0,0,0,1,0,16,0,0,1,0,3,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,7,7,10,5,0,0,14,3,3,0,8,1,0,0,9,2,2,5,3
2402122-001,021,22-001,1205,0,32,68,76,148,159,264,251,87,37,377,572,245,1,7,1,0,0,2,0,1057,18,8,11,23,88,1057,8,18,5,5,1,0,8,2,0,1,1,1,2,1,0,0,2,0,0,1,1,3,0,88,971,463,463,774,284,0,0,874,446,446,0,601,293,0,0,789,233,233,569,272
2402123-001,021,23-001,5499,0,268,478,558,952,867,899,574,237,69,2409,1710,1302,7,29,7,6,3,26,0,3607,484,465,205,166,572,3607,462,470,54,84,69,26,26,39,6,7,17,7,6,1,14,1,7,3,3,4,0,2,3,572,4155,1740,1740,2919,936,0,0,3374,1616,1616,0,1834,733,0,0,2800,663,663,1585,663
2402123-002,021,23-002,58,0,3,7,3,5,7,4,6,5,14,30,20,7,0,1,0,0,0,0,0,41,2,4,2,1,8,41,4,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,30,15,15,21,10,0,0,43,25,25,0,26,10,0,0,35,10,10,20,6
2402123-003,021,23-003,4,0,0,0,2,0,2,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,1,0,0,1,1,1,0,3,1,0,0,2,0,0,2,1
2402123-004,021,23-004,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2402124-001,021,24-001,1799,0,78,96,121,231,244,392,310,124,50,676,725,382,0,8,3,1,1,3,0,1435,77,14,52,30,191,1435,14,77,19,3,18,3,17,7,1,5,0,0,5,1,0,0,0,0,0,0,0,0,0,191,1420,691,691,1108,433,0,0,1229,672,672,0,795,382,0,0,1078,327,327,741,343
2402124-002,021,24-002,924,0,27,44,58,122,137,172,155,106,45,346,356,212,0,3,4,0,0,3,0,756,41,8,14,27,78,756,8,41,4,13,1,2,5,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,78,729,349,349,587,240,0,0,657,372,372,0,459,232,0,0,604,216,216,419,203
2402124-003,021,24-003,674,0,27,30,35,84,96,122,119,95,16,268,261,137,0,3,1,0,1,3,0,574,7,1,9,18,65,574,1,7,3,0,0,4,3,0,2,2,0,0,0,3,0,0,5,0,1,0,0,4,0,65,579,332,332,477,224,0,0,498,304,304,0,372,203,0,0,439,176,176,325,179
2402124-004,021,24-004,10,0,0,1,0,0,3,2,1,2,0,3,5,2,0,0,0,0,0,0,0,7,1,0,0,0,2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,3,5,1,0,0,6,4,4,0,3,0,0,0,5,2,2,3,1
2402124-005,021,24-005,1027,0,53,103,72,144,158,212,138,30,10,497,303,221,0,4,1,0,0,1,0,530,110,172,58,40,117,530,172,109,14,30,20,6,3,17,1,0,0,4,1,0,1,0,0,0,0,0,0,0,1,117,782,353,353,552,186,0,0,622,290,290,0,342,147,0,0,534,127,127,316,109
2402124-006,021,24-006,27,0,2,2,3,4,4,8,1,1,2,7,11,8,0,1,0,0,0,0,0,25,0,0,0,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,6,6,11,2,0,0,15,5,5,0,8,5,0,0,16,3,3,6,3
2402125-001,021,25-001,3594,1,120,243,362,649,546,624,459,179,64,1417,1157,950,2,42,6,2,1,17,0,2907,146,118,50,42,331,2907,117,143,22,13,7,9,13,6,1,4,4,1,1,3,3,0,1,1,2,0,1,0,1,331,2589,1059,1059,1774,562,0,0,2068,946,946,0,1124,485,0,0,1719,391,391,938,416
2402126-001,021,26-001,3780,0,157,235,252,689,677,610,496,216,90,1371,1489,878,5,20,5,1,1,10,0,2972,219,95,98,52,344,2972,93,217,28,18,45,4,13,9,2,7,5,3,1,0,2,3,1,2,0,2,0,4,1,344,2996,1240,1240,2163,766,0,0,2481,1284,1284,0,1652,762,0,0,2222,604,604,1374,689
2402126-002,021,26-002,3139,0,139,223,251,566,440,538,462,205,67,1135,1225,735,4,21,4,2,1,12,0,2353,189,186,51,56,304,2353,186,186,16,13,20,5,13,7,3,3,4,2,2,5,3,1,4,0,0,0,0,2,0,304,2400,1023,1023,1773,633,0,0,2035,989,989,0,1278,611,0,0,1803,492,492,1135,525
2402301-001,023,01-001,1292,0,46,62,73,149,158,231,266,174,60,313,825,145,3,1,0,0,0,5,0,1146,6,3,17,6,114,1146,3,6,2,3,4,4,1,5,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,114,1020,480,480,761,322,0,0,878,550,550,0,642,333,0,0,782,290,290,599,398
2402302-001,023,02-001,1295,0,45,83,98,195,180,258,184,117,41,251,835,192,5,2,3,2,0,5,0,1144,14,2,5,5,125,1144,2,14,1,0,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,125,945,400,400,629,244,0,0,800,421,421,0,433,200,0,0,665,181,181,422,239
2402303-001,023,03-001,1731,0,86,112,107,235,289,281,239,162,83,293,1169,252,5,6,2,1,0,3,0,1531,11,5,4,13,167,1531,5,10,1,8,1,1,4,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,167,1316,570,570,892,284,0,0,1082,631,631,0,678,357,0,0,914,301,301,599,351
2402303-002,023,03-002,513,0,23,27,43,63,78,123,75,27,15,102,337,67,6,1,0,0,0,0,0,455,2,0,1,0,55,455,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,392,161,161,257,69,0,0,318,171,171,0,184,79,0,0,270,90,90,173,99
2402304-001,023,04-001,493,0,22,30,38,75,73,93,68,57,13,75,342,71,1,2,0,1,0,1,0,459,1,3,4,1,25,459,3,1,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,361,142,142,233,82,0,0,313,188,188,0,186,86,0,0,278,94,94,172,103
2402305-001,023,05-001,1352,0,62,78,110,208,196,246,219,112,32,256,897,176,9,3,1,1,1,8,0,1143,16,9,6,23,155,1143,9,16,0,1,1,5,17,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,155,1051,530,530,769,326,0,0,885,557,557,0,562,318,0,0,749,280,280,555,352
2402306-001,023,06-001,1589,0,51,95,127,172,202,300,290,157,35,361,974,222,10,13,6,1,1,1,0,1361,26,11,10,16,165,1361,11,26,5,3,3,1,6,1,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,165,1224,623,623,855,346,0,0,956,590,590,0,638,343,0,0,820,270,270,633,375
2402307-001,023,07-001,1718,0,60,112,104,238,247,256,300,169,71,365,1106,215,4,13,5,1,0,9,0,1480,19,8,17,11,183,1480,8,19,6,1,2,5,3,0,0,0,1,1,3,0,0,0,2,0,0,3,0,0,0,183,1311,670,670,933,458,0,0,1063,741,741,0,731,465,0,0,927,349,349,687,554
2402308-001,023,08-001,525,0,23,30,39,71,100,88,79,42,13,86,385,47,3,0,1,1,0,2,0,439,7,0,2,5,72,439,0,7,0,1,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,72,395,160,160,227,88,0,0,315,191,191,0,177,94,0,0,237,72,72,169,115
2402308-002,023,08-002,578,0,14,25,50,92,94,102,79,61,17,68,443,53,7,3,0,0,0,4,0,511,1,1,4,5,56,511,1,1,0,0,1,2,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,56,443,200,200,315,135,0,0,375,236,236,0,248,151,0,0,316,108,108,223,177
2402309-001,023,09-001,899,0,40,64,68,122,172,150,130,74,19,182,573,131,2,5,1,0,0,5,0,813,4,1,4,8,69,813,1,4,1,2,1,2,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,69,686,286,286,458,149,0,0,589,327,327,0,352,179,0,0,504,148,148,324,188
2402310-001,023,10-001,1447,0,61,95,87,162,220,277,250,122,55,300,944,178,7,11,0,0,1,6,0,1254,20,3,3,5,162,1254,3,20,0,1,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,162,1076,495,495,751,285,0,0,924,581,581,0,596,317,0,0,795,258,258,595,398
2402311-001,023,11-001,100,0,3,4,6,11,9,27,20,14,1,16,71,10,1,1,0,0,0,1,0,91,0,0,0,1,8,91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,84,25,25,57,15,0,0,77,42,42,0,44,12,0,0,70,20,20,45,23
2402312-001,023,12-001,569,0,20,36,37,66,92,109,101,45,10,78,416,71,2,2,0,0,0,0,0,508,4,0,3,3,51,508,0,4,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,452,194,194,310,127,0,0,354,227,227,0,244,130,0,0,322,107,107,242,143
2402313-001,023,13-001,407,0,13,33,29,44,78,74,53,45,12,121,246,38,1,0,0,0,1,0,0,357,0,2,0,1,47,357,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,288,95,95,190,71,0,0,252,137,137,0,151,83,0,0,215,60,60,157,102
2402314-001,023,14-001,2032,0,60,133,106,220,304,379,378,219,65,377,1372,256,8,8,2,1,0,8,0,1758,16,7,11,17,223,1758,7,15,8,1,0,2,5,0,2,1,0,1,3,0,1,0,1,0,4,0,0,0,0,223,1580,798,798,1136,547,0,0,1317,873,873,0,928,559,0,0,1143,447,447,898,666
2402314-002,023,14-002,943,0,43,64,59,123,172,153,140,86,31,136,663,123,5,5,2,1,2,6,0,774,8,1,12,6,142,774,1,8,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,142,716,323,323,489,252,0,0,592,388,388,0,387,262,0,0,493,189,189,384,301
2402315-001,023,15-001,400,0,18,26,27,62,71,65,73,24,11,83,274,41,0,1,0,0,0,1,0,376,2,0,2,2,18,376,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,320,134,134,235,87,0,0,280,163,163,0,187,95,0,0,260,77,77,180,112
2402316-001,023,16-001,2232,0,75,175,149,293,340,381,344,172,85,410,1491,304,9,9,2,2,0,5,0,1980,21,4,12,17,198,1980,4,21,3,2,2,6,9,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,198,1650,777,777,1123,502,0,0,1370,885,885,0,921,568,0,0,1157,421,421,892,679
2402501-001,025,01-001,3272,0,148,317,427,589,513,498,303,88,29,2028,515,659,4,22,4,4,2,34,0,1147,180,1713,38,42,152,1147,1709,178,16,20,7,0,3,6,5,5,5,0,0,0,2,0,1,4,2,2,0,1,0,152,2046,798,798,1298,357,0,0,1665,689,689,0,831,280,0,0,1508,213,213,812,288
