GEOID,COUNTYFP,VTD,total_reg,age_18_19,age_20_24,age_25_29,age_30_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85over,party_dem,party_rep,party_npp,party_rin,party_lib,party_grn,party_wkp,party_bar,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_10,eth2_30,eth2_23,eth2_14,eth2_34,eth2_21,eth2_32,eth2_12,eth2_85,eth2_29,eth2_35,eth2_55,eth2_66,eth2_33,eth2_61,eth2_99,eth2_38,eth2_26,eth2_19,eth2_59,eth2_18,eth2_unk,g20201103,pp20200602,p20200602,g20181106,p20180626,s20171219,s20171002,g20161108,pp20160426,p20160426,s20151208,g20141104,p20140624,s20130506,s20130305,g20121106,pp20120403,p20120403,g20101102,p20100914
2402701-007,027,01-007,770,0,26,51,90,196,142,117,55,17,2,374,190,201,1,1,0,0,0,3,0,399,40,79,136,34,82,399,79,40,39,17,30,45,6,17,1,1,4,3,2,1,0,0,0,0,0,3,0,0,1,82,610,276,276,440,128,0,0,474,211,211,0,237,85,0,0,356,47,47,228,53
2402701-008,027,01-008,1923,0,84,149,161,339,360,343,184,49,21,951,495,442,6,9,3,1,1,15,0,1149,156,213,171,56,178,1149,212,155,58,39,47,21,2,28,3,5,3,3,2,1,1,0,2,1,0,1,1,1,8,178,1436,564,564,1000,254,0,0,1145,555,555,0,637,208,0,0,966,175,175,614,217
2402701-009,027,01-009,1771,0,96,133,171,335,351,298,123,39,11,921,362,459,7,6,4,0,0,12,0,922,114,195,236,87,217,922,195,113,73,43,82,52,15,20,6,2,7,2,1,6,1,2,4,0,0,1,2,0,3,217,1418,652,652,1047,295,0,0,1135,542,542,0,639,201,0,0,949,142,142,598,172
2402701-010,027,01-010,1703,0,59,146,182,265,267,363,160,47,18,910,368,396,6,10,1,1,0,11,0,1008,72,203,186,75,159,1008,203,69,40,34,50,78,16,7,6,2,1,2,1,3,3,1,7,0,2,7,1,1,0,159,1308,612,612,932,295,0,0,1068,543,543,0,613,224,0,0,895,149,149,595,191
2402701-011,027,01-011,1014,0,40,36,40,207,220,187,107,61,22,459,266,277,2,4,3,0,0,3,0,562,24,63,196,42,127,562,63,24,38,28,112,30,6,9,3,3,2,1,0,1,0,0,0,0,1,1,1,0,0,127,852,301,301,654,178,0,0,706,362,362,0,439,145,0,0,584,110,110,404,118
2402701-012,027,01-012,982,0,35,81,91,215,155,165,98,23,13,440,260,263,2,4,1,0,0,12,0,610,34,43,145,51,99,610,42,34,36,35,35,60,2,5,4,5,0,5,1,2,0,2,0,1,0,0,0,0,2,99,795,362,362,587,181,0,0,629,324,324,0,363,121,0,0,521,95,95,343,113
2402701-013,027,01-013,1605,0,80,120,109,285,319,342,117,45,13,749,474,365,2,3,4,1,0,7,0,1000,85,205,114,69,132,1000,204,85,23,42,58,19,9,4,1,5,6,5,3,0,0,2,1,1,0,4,0,0,0,132,1304,527,527,967,258,0,0,1057,511,511,0,621,203,0,0,881,141,141,603,214
2402701-014,027,01-014,1897,0,87,70,74,263,348,306,245,223,79,879,560,442,6,3,1,0,0,6,0,1284,55,43,210,97,208,1284,43,55,59,47,47,91,22,5,4,8,11,2,2,3,0,1,1,0,0,0,0,0,0,208,1586,821,821,1216,401,0,0,1293,742,742,0,861,325,0,0,1154,288,288,867,296
2402701-015,027,01-015,3852,0,153,311,418,863,707,481,205,50,20,2332,509,945,11,16,6,3,0,30,0,1278,289,1105,557,204,419,1278,1098,281,132,130,219,126,17,52,4,15,13,18,2,3,8,9,3,7,1,1,7,0,1,419,2840,1270,1270,1857,487,0,0,2124,902,902,0,944,304,0,0,1598,211,211,835,239
2402701-016,027,01-016,735,1,31,47,69,122,134,127,67,32,10,311,193,217,4,4,0,0,0,6,0,461,71,48,59,38,58,461,48,71,19,20,9,13,7,14,5,2,5,0,1,0,0,0,0,0,0,0,0,0,2,58,540,185,185,362,76,0,0,433,183,183,0,235,80,0,0,343,53,53,217,73
2402701-017,027,01-017,801,0,35,86,73,126,137,96,81,48,14,508,116,165,3,3,1,0,0,5,0,305,52,296,53,31,64,305,295,52,12,21,12,20,1,4,0,1,0,3,0,0,0,1,0,1,0,3,0,0,0,64,576,256,256,384,84,0,0,443,189,189,0,219,63,0,0,378,62,62,222,63
2402701-018,027,01-018,432,0,27,43,43,62,66,94,42,13,3,205,114,101,1,4,0,0,0,7,0,279,36,26,49,5,37,279,26,36,20,3,8,7,0,11,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,37,334,162,162,259,61,0,0,275,131,131,0,168,65,0,0,230,40,40,158,58
2402701-019,027,01-019,55,0,1,0,10,10,11,10,5,4,0,19,17,18,0,0,1,0,0,0,0,33,1,0,8,1,12,33,0,1,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,50,20,20,41,10,0,0,40,24,24,0,29,12,0,0,37,7,7,23,12
2402701-020,027,01-020,581,0,38,67,28,87,71,165,55,18,9,230,233,105,5,2,0,0,0,6,0,438,19,15,37,15,57,438,15,16,12,7,8,9,4,7,1,0,1,0,0,1,3,0,0,0,1,0,0,0,0,57,463,216,216,377,99,0,0,416,238,238,0,272,73,0,0,359,77,77,261,81
2402701-021,027,01-021,2745,2,103,300,377,647,402,296,123,32,9,1715,382,605,3,15,6,1,2,16,0,1200,177,702,290,114,262,1200,694,174,67,63,108,80,15,20,2,7,5,19,1,2,3,1,2,8,1,4,0,0,1,262,2116,956,956,1350,344,0,0,1461,647,647,0,632,211,0,0,1147,139,139,578,140
2402702-001,027,02-001,2422,0,97,143,153,307,346,352,329,234,102,1334,453,593,16,9,3,1,1,12,0,1189,93,265,447,183,245,1189,264,91,149,111,121,143,22,18,12,3,4,9,0,5,2,8,4,1,4,1,3,2,3,245,1868,789,789,1318,468,0,0,1402,731,731,0,848,347,0,0,1155,259,259,815,297
2402702-002,027,02-002,3594,1,152,288,213,498,598,670,483,220,79,1725,832,979,16,8,9,2,0,23,0,1957,131,181,738,237,350,1957,178,126,309,129,214,156,21,36,10,11,6,42,3,9,5,5,3,3,0,1,3,4,2,350,2900,1123,1123,2155,740,1,0,2313,1157,1157,0,1340,514,0,0,1889,360,360,1263,446
2402702-003,027,02-003,2842,1,151,194,167,360,514,582,399,173,48,1326,758,730,7,9,2,0,0,10,0,1901,93,109,343,123,273,1901,109,92,119,75,87,100,21,27,3,6,2,3,2,7,1,5,0,0,1,0,1,1,2,273,2391,1229,1229,1899,671,1,0,1973,1113,1113,0,1314,523,0,0,1704,409,409,1220,474
2402702-004,027,02-004,1848,0,70,135,125,342,379,275,165,90,32,1050,358,413,7,3,1,2,0,14,0,816,86,415,288,82,161,816,410,86,83,50,90,86,10,18,4,7,3,11,0,0,0,4,0,5,0,1,1,0,1,161,1458,682,682,1031,317,0,0,1133,551,551,0,599,215,0,0,934,206,206,576,187
2402702-005,027,02-005,1630,1,77,75,70,173,282,274,284,175,56,792,399,420,7,2,0,0,0,10,0,945,30,20,351,100,184,945,20,29,163,45,95,72,26,6,5,11,4,17,0,0,1,2,0,0,0,0,0,0,0,184,1379,634,634,1087,513,0,0,1133,665,665,0,798,358,0,0,964,300,300,741,303
2402702-006,027,02-006,1620,0,72,98,91,256,286,273,203,78,60,813,397,381,10,1,4,0,0,14,0,960,70,61,214,124,191,960,61,66,51,69,80,63,17,7,6,6,3,15,3,1,4,9,0,0,0,1,0,0,4,191,1295,653,653,1008,346,0,0,1096,635,635,0,724,248,0,0,906,229,229,681,255
2402702-007,027,02-007,1878,0,82,119,84,268,277,368,341,118,59,817,627,414,5,6,4,0,1,4,0,1292,51,25,199,92,219,1292,25,51,70,38,75,37,19,6,5,2,2,9,4,5,0,1,2,0,4,1,2,0,2,219,1546,737,737,1255,370,0,0,1322,742,742,0,925,309,0,0,1173,298,298,885,283
2402702-008,027,02-008,2719,0,133,163,141,456,565,480,260,125,55,1282,737,665,8,6,3,0,0,18,0,1449,82,121,602,184,281,1449,121,80,133,115,317,108,13,27,10,7,4,20,5,7,2,6,0,0,0,0,3,0,2,281,2228,826,826,1601,488,0,0,1698,929,929,0,1010,377,0,0,1385,286,286,933,320
2402702-009,027,02-009,2943,0,103,251,221,355,349,418,368,282,172,1658,507,717,12,14,4,3,1,27,0,1298,131,385,597,224,308,1298,381,130,143,157,206,196,18,28,9,16,2,22,4,0,1,8,1,4,0,5,0,1,1,308,2003,847,847,1410,501,0,0,1597,793,793,0,882,403,0,0,1279,296,296,807,307
2402702-010,027,02-010,1478,0,82,87,53,192,302,245,220,101,16,714,331,412,7,7,1,1,0,5,0,776,31,17,384,95,175,776,16,31,194,47,115,54,17,10,4,4,1,12,1,2,0,3,5,1,0,1,3,0,1,175,1196,496,496,936,411,0,0,968,571,571,0,623,275,0,0,822,221,221,615,239
2402702-011,027,02-011,2520,0,142,172,123,284,494,512,318,141,51,1106,769,620,5,6,0,0,0,14,0,1549,75,62,451,135,248,1549,61,68,160,59,119,142,15,18,10,5,5,15,7,1,7,9,3,1,5,3,1,3,1,248,2014,897,897,1491,438,0,0,1576,823,823,0,1022,329,0,0,1377,301,301,987,305
2402702-012,027,02-012,2745,0,129,166,113,322,454,493,335,295,144,1346,740,631,11,8,1,0,0,8,0,1744,92,91,384,133,301,1744,90,88,167,58,93,90,26,16,1,13,7,18,2,6,4,9,0,1,2,0,2,0,0,301,2256,1008,1008,1812,742,0,0,1902,1140,1140,0,1303,615,0,0,1636,492,492,1253,528
2402702-013,027,02-013,1009,0,60,55,54,165,178,170,149,72,9,556,198,238,4,4,0,0,0,9,0,668,27,22,134,60,98,668,22,25,73,19,29,19,21,2,2,6,1,3,3,2,2,3,6,0,0,2,1,0,1,98,854,402,402,674,296,0,0,676,419,419,0,449,221,0,0,593,152,152,440,199
2402702-014,027,02-014,1016,0,41,53,63,180,160,150,201,86,6,612,175,215,6,1,0,0,1,6,0,642,43,27,92,58,154,642,27,42,31,28,31,18,14,7,6,3,2,5,0,3,1,0,0,0,0,0,1,0,0,154,866,447,447,730,315,0,0,747,470,470,0,522,260,0,0,670,183,183,502,230
2402702-015,027,02-015,2247,0,117,147,95,258,355,456,366,145,61,1040,593,594,8,4,2,0,0,6,0,1232,83,40,520,119,253,1232,40,81,279,68,131,79,15,11,10,9,1,3,10,0,2,3,2,0,0,1,0,3,2,253,1835,786,786,1483,599,0,0,1507,881,881,0,1024,458,0,0,1296,355,355,1009,378
2402702-016,027,02-016,2944,0,123,142,89,352,623,519,375,329,86,1490,707,708,7,10,7,1,1,13,0,1639,72,88,616,184,345,1639,87,72,150,126,344,89,20,9,12,7,0,11,1,2,0,1,2,1,0,4,10,0,2,345,2454,1052,1052,1924,687,0,0,2024,1140,1140,0,1329,529,0,0,1699,408,408,1231,440
2402702-017,027,02-017,488,0,26,45,44,49,64,110,69,43,4,260,91,131,4,2,0,0,0,0,0,212,17,4,146,52,57,212,3,17,45,32,75,13,5,5,7,5,1,5,0,0,0,0,0,1,2,0,3,0,0,57,409,177,177,327,119,0,0,345,199,199,0,218,72,0,0,282,71,71,207,64
2402702-018,027,02-018,2232,0,108,123,112,352,387,408,309,154,66,1023,660,513,5,10,3,1,1,16,0,1566,57,45,203,90,271,1566,45,57,68,40,57,59,23,5,5,6,3,4,3,4,0,2,0,0,3,3,2,2,0,271,1865,1037,1037,1496,534,0,0,1572,892,892,0,1062,401,0,0,1392,340,340,1021,368
2402702-019,027,02-019,1633,1,86,106,106,199,313,318,210,113,22,702,511,399,4,6,4,0,0,7,0,1060,66,27,219,108,153,1060,27,65,74,67,54,70,27,8,0,8,0,11,1,0,1,1,0,0,0,0,0,0,2,153,1329,663,663,1028,338,0,0,1118,638,638,0,756,273,0,0,965,238,238,731,267
2402702-020,027,02-020,1042,0,28,58,77,150,163,156,186,96,44,588,224,215,4,3,1,0,0,7,0,646,32,88,115,45,116,646,88,32,43,21,22,36,11,6,5,4,1,2,0,1,0,1,2,0,0,0,1,0,0,116,852,410,410,678,283,0,0,720,421,421,0,463,202,0,0,627,149,149,445,186
2402702-021,027,02-021,359,0,22,22,15,34,80,69,44,25,10,178,104,73,1,2,0,0,0,1,0,261,14,1,34,8,41,261,1,14,15,2,3,15,2,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,41,300,151,151,247,108,0,0,247,161,161,0,176,79,0,0,215,66,66,168,64
2402702-022,027,02-022,54,0,0,5,3,6,11,10,10,1,0,39,9,5,0,0,1,0,0,0,0,36,1,1,0,1,15,36,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,46,27,27,36,23,0,0,38,30,30,0,23,12,0,0,34,6,6,20,9
2402702-023,027,02-023,1449,0,87,152,127,232,201,237,138,54,21,865,224,340,2,7,2,0,0,9,0,604,53,322,185,150,135,604,321,52,35,121,80,39,6,23,9,3,0,8,1,0,1,1,0,1,4,1,1,0,0,135,1049,420,420,677,205,0,0,799,375,375,0,378,130,0,0,643,113,113,378,120
2402702-024,027,02-024,1418,0,66,75,83,219,227,277,210,84,33,625,436,335,5,5,1,1,1,9,0,879,76,52,175,95,141,879,52,75,30,52,82,37,13,11,11,9,4,12,0,0,1,3,0,0,0,0,0,0,6,141,1194,571,571,923,313,0,0,978,573,573,0,657,276,0,0,848,220,220,624,242
2402702-025,027,02-025,1325,0,99,81,59,198,248,309,124,40,30,636,363,305,5,7,3,0,0,6,0,930,36,30,133,48,148,930,30,35,45,24,40,28,6,13,1,4,3,5,2,1,1,4,2,0,0,0,1,0,2,148,1096,464,464,847,273,0,0,889,513,513,0,601,199,0,0,792,159,159,578,175
2402702-026,027,02-026,2262,0,93,124,133,336,419,373,310,139,58,1098,532,609,6,5,6,0,2,4,0,1099,59,69,692,136,207,1099,67,55,274,75,227,143,22,29,5,10,1,16,4,2,4,2,6,2,0,4,2,2,0,207,1791,700,700,1337,520,0,0,1420,826,826,0,909,352,0,0,1185,300,300,841,361
2402703-001,027,03-001,1770,0,77,111,78,214,245,350,284,205,50,717,631,405,4,6,1,0,0,6,0,1215,47,51,183,94,180,1215,51,47,50,56,57,61,6,5,8,3,2,9,4,1,0,2,0,0,3,1,0,1,0,180,1442,732,732,1154,370,0,0,1221,667,667,0,866,312,0,0,1100,253,253,829,290
2402703-002,027,03-002,3476,0,136,223,178,364,479,650,726,375,95,1287,1384,760,12,8,10,0,0,15,0,2417,86,92,368,124,389,2417,91,85,89,51,140,116,34,13,7,5,2,4,3,10,1,2,7,1,0,2,0,1,1,389,2930,1452,1452,2284,745,0,0,2443,1341,1341,0,1720,615,0,0,2172,525,525,1637,584
2402703-003,027,03-003,2464,0,156,154,99,268,431,532,339,204,58,1045,809,573,8,10,4,1,0,14,0,1549,47,98,307,188,275,1549,98,47,119,124,97,64,20,12,13,4,2,13,7,0,0,5,0,0,2,0,2,0,6,275,2018,1054,1054,1583,541,0,0,1706,943,943,0,1145,392,0,0,1460,362,362,1065,366
2402703-004,027,03-004,287,0,13,22,13,40,62,67,26,11,5,112,97,77,0,1,0,0,0,0,0,182,2,5,58,19,21,182,5,2,22,10,22,12,1,0,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0,21,225,77,77,173,43,0,0,186,85,85,0,128,31,0,0,155,27,27,107,30
2402703-005,027,03-005,4326,2,192,242,179,425,782,747,598,446,175,1791,1329,1149,20,13,5,1,0,18,0,2351,105,143,1047,213,467,2351,139,102,308,104,297,388,38,34,12,7,3,21,2,11,3,5,7,4,3,5,1,2,0,467,3448,1572,1572,2456,813,0,0,2692,1438,1438,0,1748,612,0,0,2307,503,503,1666,558
2402703-006,027,03-006,2017,0,103,136,117,289,368,420,248,99,36,736,770,482,7,12,2,0,0,8,0,1378,68,73,198,96,204,1378,73,65,51,55,89,44,15,2,1,2,2,6,5,3,3,0,4,0,3,1,2,0,4,204,1637,758,758,1269,415,0,0,1373,765,765,0,933,314,0,0,1210,264,264,843,273
2402704-001,027,04-001,1610,0,75,104,81,237,226,368,228,106,51,468,772,349,8,8,1,0,1,3,0,1328,64,12,35,29,142,1328,12,64,9,5,9,12,8,0,4,2,2,1,1,6,0,2,0,0,0,0,1,0,0,142,1308,557,557,1014,282,1,0,1124,602,602,0,805,242,0,0,1013,219,219,721,268
2402704-002,027,04-002,1804,1,105,134,111,234,293,412,188,123,29,626,728,431,6,5,1,0,0,7,0,1312,56,16,107,84,229,1312,16,55,43,47,30,28,17,4,5,2,0,2,1,3,1,2,0,0,0,0,0,0,0,229,1492,719,719,1196,408,0,0,1257,737,737,0,895,286,0,0,1121,246,246,796,284
2402704-003,027,04-003,1932,0,105,136,103,231,287,422,294,158,42,549,961,388,8,9,1,0,0,16,0,1539,47,21,76,32,217,1539,21,45,28,6,21,12,10,11,1,3,0,0,5,5,2,1,0,0,3,0,0,0,0,217,1604,728,728,1249,430,0,0,1342,747,747,0,968,383,0,0,1201,344,344,885,379
2402704-004,027,04-004,2713,0,193,195,131,375,435,630,289,154,45,829,1271,572,9,16,2,0,0,14,0,1899,79,132,188,122,293,1899,130,78,52,56,73,49,23,6,11,5,1,4,8,7,1,2,5,2,3,0,1,0,2,293,2146,919,919,1656,520,0,0,1807,1003,1003,0,1207,391,0,0,1575,334,334,1156,391
2402704-005,027,04-005,1525,0,65,108,85,220,211,340,236,108,41,427,754,324,3,5,1,0,1,10,0,1180,58,27,51,35,174,1180,27,57,14,21,21,10,5,1,1,2,0,2,2,2,1,0,1,0,0,2,0,0,0,174,1271,575,575,1016,317,0,0,1094,636,636,0,803,311,0,0,974,248,248,713,298
2402704-006,027,04-006,2490,0,152,158,96,318,445,539,300,174,48,855,1027,574,12,8,1,0,1,12,0,1701,52,68,279,124,266,1701,68,52,73,45,119,47,23,30,3,5,3,19,16,4,0,0,0,0,1,3,2,3,0,266,2049,968,968,1563,480,0,0,1713,906,906,0,1109,319,0,0,1442,301,301,1026,297
2402705-001,027,05-001,3684,0,191,250,163,478,777,693,435,204,73,1531,1092,1010,14,15,3,2,0,17,0,1781,124,146,836,343,454,1781,146,118,269,241,435,90,20,22,27,8,6,33,4,2,6,2,4,0,0,3,4,0,0,454,3019,1673,1673,2246,671,0,0,2378,1224,1224,0,1403,411,0,0,1948,369,369,1260,439
2402705-002,027,05-002,849,0,37,39,75,118,116,144,109,102,43,553,146,140,1,1,0,0,0,8,0,488,43,137,30,48,103,488,137,43,7,25,13,6,9,3,5,0,1,2,2,0,0,3,0,0,1,0,0,0,0,103,727,471,471,605,294,0,0,638,419,419,0,444,228,0,0,568,188,188,437,217
2402705-003,027,05-003,2839,0,103,238,237,394,397,378,292,314,160,1918,345,533,14,13,5,0,0,11,0,1241,144,938,124,89,303,1241,934,140,40,47,31,24,17,9,7,12,4,1,3,0,4,1,3,4,2,2,1,0,4,303,2246,1256,1256,1766,818,0,0,1816,1096,1096,0,1170,643,0,0,1598,490,490,1121,566
2402705-004,027,05-004,3137,0,97,261,326,470,451,408,332,262,107,2086,390,624,12,8,3,0,0,14,0,1285,168,1031,169,160,324,1285,1022,167,40,94,51,41,23,19,14,13,2,7,3,1,1,6,2,9,1,0,1,0,2,324,2490,1265,1265,1770,726,0,0,1864,1035,1035,0,1088,517,0,0,1593,420,420,1043,456
2402705-005,027,05-005,3040,1,167,204,188,452,439,620,410,206,68,1488,771,739,7,16,5,0,2,12,0,1598,116,168,660,191,307,1598,168,109,237,114,215,123,22,62,10,14,1,23,4,2,7,4,0,0,0,3,2,4,3,307,2480,1343,1343,1917,630,0,0,2035,1114,1114,0,1277,454,0,0,1729,404,404,1221,470
2402705-006,027,05-006,4691,0,218,292,241,896,1038,822,418,189,63,2289,1095,1249,8,26,6,1,0,17,0,2439,176,303,956,268,549,2439,302,167,293,162,309,260,34,46,28,33,12,12,4,0,9,3,5,1,3,2,1,2,4,549,3843,1883,1883,2781,749,0,0,2975,1414,1414,0,1688,498,0,0,2417,383,383,1490,509
2402705-007,027,05-007,1677,1,77,110,133,235,261,286,229,142,38,1056,214,386,6,6,2,0,0,7,0,786,93,466,114,78,140,786,465,93,52,34,34,18,13,5,6,1,5,10,0,2,0,1,3,1,0,1,3,0,0,140,1346,772,772,1084,505,0,0,1128,679,679,0,754,365,0,0,1009,275,275,715,308
2402705-008,027,05-008,1918,0,69,136,164,284,280,278,267,209,66,1294,208,378,9,8,5,0,2,14,0,887,131,575,57,71,197,887,574,130,22,36,17,8,14,3,3,6,3,9,1,3,1,0,0,1,0,0,1,0,0,197,1525,830,830,1198,542,0,0,1277,788,788,0,817,423,0,0,1117,351,351,818,402
2402705-009,027,05-009,2082,3,95,185,207,358,302,345,172,115,21,1357,254,440,4,4,4,1,0,18,0,614,175,875,169,97,152,614,873,171,55,71,35,33,16,32,5,6,0,1,1,0,4,1,0,2,1,0,3,0,1,152,1475,675,675,1066,358,0,0,1180,574,574,0,619,264,0,0,980,204,204,582,234
2402705-010,027,05-010,3099,0,204,248,123,294,728,660,273,101,31,1523,613,939,8,5,1,0,3,7,0,1346,92,71,957,244,389,1346,71,91,475,159,272,134,12,31,16,27,14,14,5,8,1,7,1,0,3,0,4,2,3,389,2507,1475,1475,1829,620,0,0,1865,951,951,0,1093,323,0,0,1480,262,262,965,323
2402705-011,027,05-011,1483,0,87,98,69,194,225,310,221,112,55,616,466,380,10,2,2,0,0,7,0,966,58,24,173,81,181,966,24,58,52,40,49,41,9,19,6,7,3,1,6,6,0,4,2,0,0,2,1,0,0,181,1188,581,581,963,296,0,0,1031,536,536,0,670,202,0,0,881,200,200,631,236
2402705-012,027,05-012,1793,0,77,141,113,248,261,298,277,140,53,1121,253,397,3,4,4,1,1,9,0,754,92,518,116,129,184,754,518,90,36,66,23,34,14,9,23,13,6,7,1,1,2,1,0,0,5,0,0,3,0,184,1386,827,827,1103,494,0,0,1213,708,708,0,746,383,0,0,1052,269,269,746,323
2402705-013,027,05-013,1129,0,50,82,71,196,146,189,174,83,35,670,219,223,5,2,2,0,0,8,0,647,81,146,72,58,125,647,146,79,16,32,34,10,10,8,4,4,6,4,0,0,2,1,0,0,0,0,0,1,0,125,867,475,475,694,279,0,0,733,459,459,0,495,239,0,0,674,184,184,484,189
2402705-014,027,05-014,894,0,22,48,45,99,119,134,165,147,58,488,205,188,5,1,1,0,0,6,0,559,48,95,47,44,101,559,94,48,21,19,16,8,8,0,6,1,0,4,5,0,0,1,0,1,0,0,1,0,0,101,765,486,486,668,303,0,0,678,423,423,0,500,229,0,0,622,204,204,500,234
2402705-015,027,05-015,2738,1,112,221,200,413,404,411,362,224,82,1686,409,608,4,11,6,1,0,13,0,1494,101,495,193,121,334,1494,491,101,51,50,59,46,27,21,14,14,9,2,5,4,0,2,5,4,1,1,1,1,0,334,2240,1294,1294,1794,747,0,0,1857,1113,1113,0,1227,518,0,0,1597,424,424,1150,485
2402705-016,027,05-016,1839,0,95,220,185,315,290,270,154,70,13,1108,258,429,8,14,2,1,0,19,0,918,107,449,110,62,193,918,448,105,32,32,30,29,7,7,6,6,6,3,2,1,2,0,2,1,1,1,1,0,2,193,1412,575,575,986,334,0,0,1055,514,514,0,522,185,0,0,874,134,134,510,169
2402705-017,027,05-017,1654,0,61,105,131,232,201,297,308,149,64,983,296,350,14,4,1,0,0,6,0,959,77,213,120,76,209,959,212,77,37,35,37,32,14,5,4,4,3,14,0,2,0,0,1,1,0,3,0,0,1,209,1393,814,814,1146,507,0,0,1219,756,756,0,841,361,0,0,1090,293,293,807,337
2402705-018,027,05-018,1342,0,48,121,161,232,198,186,173,56,12,879,169,280,2,8,1,0,0,3,0,584,103,435,72,39,109,584,435,103,29,20,16,15,4,7,2,2,1,3,0,5,0,1,2,0,0,2,0,0,0,109,1049,541,541,825,293,0,0,863,480,480,0,464,199,0,0,743,136,136,458,159
2402705-019,027,05-019,2612,0,147,153,147,316,462,541,378,183,53,1068,851,662,8,13,3,0,2,5,0,1819,68,64,289,118,254,1819,64,66,121,68,106,39,18,7,17,9,2,2,0,1,2,3,5,0,1,1,2,1,1,254,2128,1026,1026,1689,576,0,0,1808,1003,1003,0,1236,397,0,0,1636,342,342,1152,409
2402705-020,027,05-020,2287,0,129,154,145,304,414,436,272,145,63,973,685,603,8,8,1,0,2,7,0,1395,78,104,315,157,238,1395,104,75,74,98,169,37,5,15,16,7,10,10,3,0,3,1,4,0,1,0,4,1,2,238,1886,861,861,1404,363,0,0,1529,759,759,0,937,239,0,0,1302,267,267,901,304
2402705-021,027,05-021,2134,0,79,191,209,357,304,362,269,96,19,1422,267,420,6,5,1,2,0,11,0,889,114,669,132,113,217,889,669,114,41,72,42,23,19,11,9,13,2,3,0,1,0,0,5,0,0,0,1,0,0,217,1694,907,907,1282,516,0,0,1366,748,748,0,762,349,0,0,1148,251,251,735,275
2402705-022,027,05-022,3565,1,275,322,191,373,687,897,305,61,30,1838,689,1005,11,8,3,0,1,10,0,1785,79,85,881,234,501,1785,83,74,393,140,291,130,41,46,19,13,0,14,4,8,5,4,0,2,0,2,1,0,0,501,2919,1703,1703,2231,781,0,0,2325,1337,1337,0,1377,545,0,0,1937,372,372,1273,482
2402705-023,027,05-023,1588,0,75,104,107,187,210,306,224,190,47,992,240,339,8,3,2,0,0,4,0,776,65,328,151,78,190,776,326,64,44,39,68,29,13,4,3,2,6,8,2,0,1,1,4,2,0,0,3,1,0,190,1302,724,724,1055,428,0,0,1101,671,671,0,706,331,0,0,943,259,259,672,291
2402705-024,027,05-024,1057,0,60,93,51,124,176,231,143,66,18,456,325,260,6,3,2,1,0,4,0,578,41,33,213,79,113,578,33,39,85,47,92,29,8,7,6,0,2,10,2,0,2,0,0,0,0,0,0,1,0,113,821,362,362,635,186,0,0,694,359,359,0,439,123,0,0,598,104,104,412,134
2402706-001,027,06-001,1913,0,73,174,205,334,274,310,182,70,28,1004,395,466,7,13,3,1,0,24,0,1014,141,432,85,49,192,1014,428,139,28,32,17,20,4,13,2,7,3,1,0,2,2,3,1,4,0,0,0,0,0,192,1441,664,664,1047,294,0,0,1130,534,534,0,598,190,0,0,912,175,175,583,205
2402706-002,027,06-002,2958,0,169,284,248,474,505,538,284,62,18,1925,379,602,6,16,8,0,2,20,0,828,279,1327,219,139,166,828,1327,277,51,105,92,20,5,37,6,10,5,14,0,0,2,0,0,0,0,3,0,0,4,166,2204,1128,1128,1575,472,0,0,1736,816,816,0,921,297,0,0,1510,240,240,842,249
2402706-003,027,06-003,1408,0,65,113,81,228,246,260,149,97,31,696,388,303,3,7,4,0,0,7,0,946,78,90,110,62,122,946,90,76,53,25,22,23,10,9,4,3,6,10,0,2,2,0,0,0,1,0,0,0,0,122,1136,552,552,897,297,0,0,936,547,547,0,611,184,0,0,829,183,183,579,213
2402706-004,027,06-004,2164,0,101,114,131,341,304,414,342,215,50,1134,538,467,6,9,5,0,0,5,0,1575,86,99,89,67,248,1575,98,84,23,30,32,16,21,12,6,4,2,1,3,0,2,0,1,1,1,0,0,0,2,248,1858,1082,1082,1532,647,0,0,1596,1008,1008,0,1139,430,0,0,1431,421,421,1048,430
2402706-005,027,06-005,1493,0,53,106,152,269,194,207,248,127,27,899,242,325,4,8,3,0,0,12,0,829,120,253,78,67,146,829,253,113,29,31,23,15,11,8,1,2,5,7,2,2,7,3,2,0,1,1,0,2,0,146,1250,732,732,1009,425,0,0,1076,622,622,0,676,334,0,0,921,229,229,654,252
2402706-006,027,06-006,1182,1,40,68,79,197,175,181,167,144,57,747,180,234,4,9,3,1,0,4,0,745,55,193,41,41,107,745,193,53,13,18,18,7,6,1,5,2,0,1,0,2,2,3,5,0,0,0,0,0,0,107,988,580,580,834,368,0,0,878,575,575,0,627,293,0,0,767,253,253,594,250
